IdProject,LoanAmount,IdIndustry,IdReportIndustry,ReportIndName
3292363,64093.0000,595,12,Лесная промышленность
3311074,20000.0000,608,1,Машиностроение
3318988,350000.0000,607,1,Машиностроение
3336335,99800.0000,591,5,Легкая промышленность
3338825,100000.0000,607,1,Машиностроение
3342651,93776.0000,607,1,Машиностроение
3380824,350000.0000,604,3,Металлобработка/Металлургия
3381556,24570.0000,608,1,Машиностроение
3391149,738480.0000,608,1,Машиностроение
3404127,41627.0000,608,1,Машиностроение
3426870,100000.0000,603,3,Металлобработка/Металлургия
3427373,200000.0000,608,1,Машиностроение
3427466,50683.0000,600,2,Медбиофарма
3434553,104645.0000,595,12,Лесная промышленность
3456703,100000.0000,607,1,Машиностроение
3487633,441510.0000,602,11,Стройматериалы
3491784,100000.0000,606,8,Электрическое оборудование
3509757,140000.0000,604,3,Металлобработка/Металлургия
3522394,305000.0000,606,8,Электрическое оборудование
3546740,500000.0000,616,7,Электроника
3572278,20300.0000,598,4,Химия
3596209,53000.0000,608,1,Машиностроение
3600111,500000.0000,607,1,Машиностроение
3611765,84278.0000,595,12,Лесная промышленность
3631651,67000.0000,608,1,Машиностроение
3639583,500000.0000,606,8,Электрическое оборудование
3659713,100000.0000,600,2,Медбиофарма
3675875,272890.0000,607,1,Машиностроение
3691200,90000.0000,607,1,Машиностроение
3705273,248579.0000,607,1,Машиностроение
3712006,150000.0000,594,12,Лесная промышленность
3730525,52267.0000,594,12,Лесная промышленность
3746342,499998.0000,607,1,Машиностроение
3749637,250000.0000,591,5,Легкая промышленность
3753289,215254.0000,608,1,Машиностроение
3803888,10810.0000,611,2,Медбиофарма
3805672,499778.0000,607,1,Машиностроение
3849362,500000.0000,607,1,Машиностроение
3907444,500000.0000,608,1,Машиностроение
3926255,70789.0000,601,4,Химия
3979062,103580.0000,591,5,Легкая промышленность
3979345,341588.0000,607,1,Машиностроение
4003839,500000.0000,595,12,Лесная промышленность
4032950,11475.0000,607,1,Машиностроение
4096022,67723.0000,604,3,Металлобработка/Металлургия
4115297,40000.0000,603,3,Металлобработка/Металлургия
4121877,200000.0000,616,7,Электроника
4175391,35000.0000,607,1,Машиностроение
4229760,500000.0000,607,1,Машиностроение
4259792,56000.0000,606,8,Электрическое оборудование
4281896,300000.0000,616,7,Электроника
4304134,250000.0000,602,11,Стройматериалы
4305857,433082.0000,610,6,Новые материалы
4308129,500000.0000,595,12,Лесная промышленность
4365850,75000.0000,604,3,Металлобработка/Металлургия
4373726,100000.0000,598,4,Химия
4397322,284782.0000,607,1,Машиностроение
4409073,100000.0000,608,1,Машиностроение
4413926,6945.0000,604,3,Металлобработка/Металлургия
4416288,157714.0000,607,1,Машиностроение
4431569,500000.0000,598,4,Химия
4493724,14316.0000,744,14,Промышленные биотехнологии
4537188,290333.0000,607,1,Машиностроение
4539375,250110.0000,607,1,Машиностроение
4548349,100000.0000,603,3,Металлобработка/Металлургия
4548440,21880.0000,606,8,Электрическое оборудование
4551052,430000.0000,602,11,Стройматериалы
4551141,311000.0000,607,1,Машиностроение
4559074,362000.0000,607,1,Машиностроение
4571511,230642.0000,608,1,Машиностроение
4588667,200000.0000,602,11,Стройматериалы
4622211,490000.0000,598,4,Химия
4627532,96761.0000,608,1,Машиностроение
4636596,200000.0000,616,7,Электроника
4652476,72000.0000,611,2,Медбиофарма
4711388,500000.0000,598,4,Химия
4712231,69555.0000,604,3,Металлобработка/Металлургия
4715891,60210.0000,611,2,Медбиофарма
4734922,108474.0000,601,4,Химия
4746826,20000.0000,743,1,Машиностроение
4761879,60000.0000,606,8,Электрическое оборудование
4816567,110151.0000,607,1,Машиностроение
4852293,136876.0000,607,1,Машиностроение
4855863,385000.0000,608,1,Машиностроение
4899011,401454.0000,591,5,Легкая промышленность
4906432,120000.0000,601,4,Химия
4926112,500000.0000,604,3,Металлобработка/Металлургия
4943490,500000.0000,600,2,Медбиофарма
4948732,100000.0000,608,1,Машиностроение
4965218,478409.0000,608,1,Машиностроение
4973110,100000.0000,606,8,Электрическое оборудование
4981678,100000.0000,591,5,Легкая промышленность
4984542,225000.0000,616,7,Электроника
5013585,750000.0000,606,8,Электрическое оборудование
5020582,64758.0000,598,4,Химия
5029063,200000.0000,604,3,Металлобработка/Металлургия
5038455,36006.0000,608,1,Машиностроение
5038873,100000.0000,594,12,Лесная промышленность
5056772,257186.0000,608,1,Машиностроение
5071391,108265.0000,608,1,Машиностроение
5087747,500000.0000,598,4,Химия
5192346,60000.0000,607,1,Машиностроение
5200781,50000.0000,611,2,Медбиофарма
5212372,38768.0000,595,12,Лесная промышленность
5264997,42000.0000,603,3,Металлобработка/Металлургия
5399458,20542.0000,616,7,Электроника
5417267,70000.0000,611,2,Медбиофарма
5436656,100000.0000,598,4,Химия
5436763,49163.0000,600,2,Медбиофарма
5457217,50000.0000,600,2,Медбиофарма
5534536,100000.0000,591,5,Легкая промышленность
5540665,50000.0000,600,2,Медбиофарма
5550550,50000.0000,600,2,Медбиофарма
5567139,289193.0000,607,1,Машиностроение
5568006,289193.0000,607,1,Машиностроение
5569508,290864.0000,607,1,Машиностроение
5570089,50000.0000,600,2,Медбиофарма
5573392,500000.0000,606,8,Электрическое оборудование
5580040,50000.0000,600,2,Медбиофарма
5613185,95000.0000,607,1,Машиностроение
5676687,64070.0000,608,1,Машиностроение
5684771,500000.0000,601,4,Химия
5689442,30000.0000,602,11,Стройматериалы
5697432,50000.0000,600,2,Медбиофарма
5710361,50000.0000,600,2,Медбиофарма
5733312,399000.0000,607,1,Машиностроение
5774136,41856.0000,608,1,Машиностроение
5776120,35000.0000,600,2,Медбиофарма
5782866,56000.0000,607,1,Машиностроение
5784735,34500.0000,600,2,Медбиофарма
5841856,661175.0000,608,1,Машиностроение
5846142,87000.0000,604,3,Металлобработка/Металлургия
5851694,50000.0000,600,2,Медбиофарма
5930807,125000.0000,608,1,Машиностроение
6000666,100000.0000,601,4,Химия
6015678,50000.0000,600,2,Медбиофарма
6072799,401182.0000,607,1,Машиностроение
6107736,22500.0000,601,4,Химия
6202765,75000.0000,616,7,Электроника
6228582,89915.0000,594,12,Лесная промышленность
6232546,59724.0000,595,12,Лесная промышленность
6241931,146453.0000,607,1,Машиностроение
6253847,82888.0000,601,4,Химия
6293628,320000.0000,604,3,Металлобработка/Металлургия
6295942,447887.0000,600,2,Медбиофарма
6314495,48000.0000,600,2,Медбиофарма
6328267,152442.0000,607,1,Машиностроение
6348297,270000.0000,607,1,Машиностроение
6348576,270000.0000,607,1,Машиностроение
6376359,393703.0000,595,12,Лесная промышленность
6390842,103795.0000,608,1,Машиностроение
6487449,183214.0000,607,1,Машиностроение
6509246,7116.0000,607,1,Машиностроение
6560498,500000.0000,602,11,Стройматериалы
6580753,400000.0000,604,3,Металлобработка/Металлургия
6635296,218296.0000,608,1,Машиностроение
6645124,99672.0000,598,4,Химия
6678900,61913.0000,607,1,Машиностроение
6680941,100000.0000,598,4,Химия
6715576,50000.0000,600,2,Медбиофарма
6734729,500000.0000,601,4,Химия
6824971,289193.0000,607,1,Машиностроение
6825510,289193.0000,607,1,Машиностроение
6857155,500000.0000,598,4,Химия
6865281,470000.0000,595,12,Лесная промышленность
