IdProject,IdCompany,IdManager,IdSupportProgram,LoanAmount,IdIndustry,IdStatus,IdSubindustry,IdRegion,ApplicationNumber,ProjectName,Locality,LoanAgreementDate,IdBudget,LoanAgreementPayement,IdRegionalFund
1116588,1116585,NULL,692,1820,598,391056,3585,136,2178,Наименование проекта1116588,Ратмирово,NULL,2,NULL,NULL
1117635,4557,NULL,692,1289,607,391056,3641,146,2174,Наименование проекта1117635,Пермь,NULL,2,NULL,NULL
1126296,295367,NULL,692,1926,604,391056,3604,156,2175,Наименование проекта1126296,Нижний Тагил,NULL,2,NULL,NULL
1156731,1156598,1281,692,1769,616,3126344,20850,162,2170,Наименование проекта1156731,"Елабуга, ОЭЗ Алабуга",NULL,2,NULL,NULL
1172421,1117075,NULL,692,1874,609,391056,3658,149,2207,Наименование проекта1172421,г.Таганрог,NULL,2,NULL,NULL
1172613,32468,8320,692,1262,608,20761,3651,96,2177,Наименование проекта1172613,Барнаул,2017-03-24,2,2017-04-11,NULL
1177464,1176222,1979,692,1561,598,391056,3584,162,2184,Наименование проекта1177464,Казань,NULL,2,NULL,NULL
1178948,1158465,NULL,118,1085,617,391056,20858,136,2206,Наименование проекта1178948,"Деревня Челобитьево, Мытищинский район",NULL,2,NULL,NULL
1183798,25130,1935,692,1473,608,277,3652,97,2188,Наименование проекта1183798,г.Благовещенск,NULL,2,NULL,NULL
1188755,25876,NULL,692,1457,618,391056,0,160,2217,Наименование проекта1188755,г. Минеральные Воды,NULL,2,NULL,NULL
1189696,1189694,1935,692,1510,608,20761,3647,130,2186,Наименование проекта1189696,г. Отрадное,2016-12-26,2,2016-12-28,NULL
1201678,1175405,NULL,692,1537,598,391056,3581,162,2183,Наименование проекта1201678,Казань,NULL,2,NULL,NULL
1214029,11024,NULL,696,1522,607,391056,3635,94,2185,Наименование проекта1214029,г. Майкоп,NULL,2,NULL,NULL
1223825,1110777,NULL,696,1323,607,391056,3635,175,2343,Наименование проекта1223825,город Ядрин,NULL,2,NULL,NULL
1225061,1224759,NULL,692,1938,616,391056,20853,153,2192,Наименование проекта1225061,Саратов,NULL,2,NULL,NULL
1231780,377916,NULL,692,1344,607,391056,3629,136,2204,Наименование проекта1231780,Электросталь,NULL,2,NULL,NULL
1232003,1231993,NULL,692,1206,603,391056,3602,125,2195,Наименование проекта1232003,город Армавир,NULL,2,NULL,NULL
1235683,1234758,NULL,692,1613,604,391056,3603,159,2239,Наименование проекта1235683,Ярцево,NULL,2,NULL,NULL
1236489,1236486,NULL,692,1851,608,391056,3645,159,2236,Наименование проекта1236489,город Рославль,NULL,2,NULL,NULL
1237526,33166,NULL,692,1180,607,391056,3644,100,2187,Наименование проекта1237526,Уфа,NULL,2,NULL,NULL
1239414,8286,NULL,692,1009,591,391056,3565,104,2205,Наименование проекта1239414,город Вязники,NULL,2,NULL,NULL
1242775,1193432,NULL,692,1555,608,391056,3645,169,2201,Наименование проекта1242775,Димитровград,NULL,2,NULL,NULL
1268382,1260057,NULL,696,1812,607,391056,3635,151,2203,Наименование проекта1268382,Самара,NULL,2,NULL,NULL
1268925,1267261,NULL,696,1231,607,391056,3635,162,2254,Наименование проекта1268925,село Столбище,NULL,2,NULL,NULL
1276506,1236476,2440,692,1084,611,391056,3666,135,2191,Наименование проекта1276506,Москва,NULL,2,NULL,NULL
1277895,1178708,1273,692,1601,600,20761,3587,136,2212,Наименование проекта1277895,г. Видное,2016-12-22,2,2016-12-26,NULL
1282369,1282364,NULL,692,1289,617,391056,20859,136,2209,Наименование проекта1282369,Воскресенск,NULL,2,NULL,NULL
1288379,928016,NULL,692,1666,602,391056,3592,126,2198,Наименование проекта1288379,Красноярск,NULL,2,NULL,NULL
1309096,1308677,NULL,692,1841,610,391056,3662,169,2225,Наименование проекта1309096,Ульяновск,NULL,2,NULL,NULL
1324134,1025018,1979,692,1294,606,20761,3619,160,2202,Наименование проекта1324134,город Невинномысск,2016-12-14,2,2016-12-19,NULL
1330637,1314695,NULL,692,1101,598,391056,3580,143,2257,Наименование проекта1330637, г. Ясный,NULL,2,NULL,NULL
1341462,1333826,1273,692,1583,601,3126345,3588,156,2294,Наименование проекта1341462,Екатеринбург,2016-12-13,2,2016-12-21,NULL
1342492,58937,1979,692,1515,610,20761,3662,160,2218,Наименование проекта1342492,Ставрополь,2016-12-14,2,2016-12-16,NULL
1367130,1365755,NULL,692,1197,618,391056,0,139,2303,Наименование проекта1367130,Нижний Новгород,NULL,2,NULL,NULL
1386637,1073701,3702,745,1073,603,20761,3602,169,2221,Наименование проекта1386637,Ульяновск,2017-03-10,2,2017-03-17,2355700
1393874,1072824,1273,692,1721,607,20761,3628,173,2216,Наименование проекта1393874,Челябинск ,2016-12-26,2,2016-12-28,NULL
1400507,11123,1935,692,1274,608,3126344,3648,117,2222,Наименование проекта1400507,г. Людиново,NULL,2,NULL,NULL
1407069,1392904,NULL,118,1943,606,391056,3621,101,2220,Наименование проекта1407069,г. Белгород,NULL,2,NULL,NULL
1415833,1358442,NULL,692,1902,608,391056,3645,151,2229,Наименование проекта1415833,Тольятти,NULL,2,NULL,NULL
1433146,1432759,2440,692,1030,611,391056,3667,135,2291,Наименование проекта1433146,Москва,NULL,2,NULL,NULL
1438750,27229,1935,692,1201,594,20761,3571,103,2226,Наименование проекта1438750,п. Новый Уоян,2017-02-01,2,2017-03-17,NULL
1439030,1436470,NULL,118,1307,611,391056,3667,130,2232,Наименование проекта1439030,г. Санкт-Петербург,NULL,2,NULL,NULL
1439417,826755,1979,693,1333,602,20761,3592,105,2231,Наименование проекта1439417,г. Волгоград,2016-11-30,2,2016-12-02,NULL
1448212,1448210,NULL,692,1710,603,391056,3601,147,2238,Наименование проекта1448212,Уссурийск,NULL,2,NULL,NULL
1454147,1438647,NULL,692,1468,610,391056,3662,104,2250,Наименование проекта1454147,Камешково,NULL,2,NULL,NULL
